source_lemma,target_translation
(polo)zemnice,pit house
**suborál (paleoklimatologie),Subboreal (paleoclimatology)
1) teorie a přístupy,1) Theory and approaches
10) pomocně-historická hesla,10) Auxiliary-historical headings
10–20 km,10–20 km
11) povolání a pracovní činnosti,11) Professions and work activities
12) společnost,12) Society
2) terénní metody,2) Field methods
20–30 km,20–30 km
3) metody zpracování,3) Processing methods
30–40 km,30–40 km
3d dokumentace,3D documentation
3d rekonstrukce,3D reconstruction
3d textura,3D texture
3d – 3d printing (*.3mf),3D – 3D Printing (*.3mf)
"3d – 3d studio max (*.max, *.3ds)","3D – 3D Studio Max (*.max, *.3ds)"
3d – autocad (*.dwg),3D – Autocad (*.dwg)
3d – autodesk exchange (*.fbx),3D – Autodesk Exchange (*.fbx)
3d – blender (*.blend),3D – Blender (*.blend)
3d – collada (*.dae),3D – Collada (*.dae)
3d – jiný,3D – other
"3d – leica (*.pts, *.ptx)","3D – Leica (*.pts, *.ptx)"
3d – obj (*.obj),3D – OBJ (*.obj)
3d – revit (*.rvt),3D – Revit (*.rvt)
3d – sketchup (*.skp),3D – Sketchup (*.skp)
3d – stanford ply (*.ply),3D – Stanford PLY (*.ply)
3d – stereo litography (*.stl),3D – Stereo Litography (*.stl)
3d – universal (*.u3d),3D – Universal (*.u3d)
3d – vrml (*.wrl),3D – VRML (*.wrl)
4) hraniční obory a přidružené obory,4) Cross-border and related disciplines
40–50 km,40–50 km
5) chronologie,5) Chronology
50–60 km,50–60 km
6 x 6 cm,6 x 6 cm
6 x 9 cm,6 x 9 cm
6) areál aktivity,6) Activity area
60–70 km,60–70 km
7) objekt,7) Feature
70–80 km,70–80 km
8) předmět,8) Object
80–90 km,80–90 km
9 x 12 cm,9 x 12 cm
9) materiálové specifikace,9) Material specifications
90–100 km,90–100 km
<10 km,<10 km
>100 km,>100 km
>a0,>A0
a0 (84 x 119 cm),A0 (84 x 119 cm)
a1 (59 x 84 cm),A1 (59 x 84 cm)
a2 (42 x 59 cm),A2 (42 x 59 cm)
a3 (30 x 42 cm),A3 (30 x 42 cm)
a4 (21 x 30 cm),A4 (21 x 30 cm)
a5 (15 x 21 cm),A5 (15 x 21 cm)
abacus (architektura),abacus (architecture)
abacus (nástroj),abacus (tool)
abatyše,abbess
abraze,abrasion
absolutismus,absolutism
absolutní chronologie,absolute chronology
absolutní datování,absolute dating
absolutní monarchie,absolute monarchy
achaia,Achaea
acheuléen,Acheulian
achájové,Achaeans
adamité,Adamites
advent,Advent
advent (etnologie),Advent (ethnology)
adyton,adyton
afghánistán,Afghanistan
afrika,Africa
agnosticizmus,agnosticism
agnus dei,Lamb of God
agnůstek (přívěsek),Agnus Dei (pendant)
agora,agora
aiólové,Aeolians
akanthos,acanthus
akkad,Akkad
akropole,acropolis
akrótérion,acroterion
akta,acta
akulturace,acculturation
akvadukt,aqueduct
akvamanile,aquamanile
akční umění,action art
alabastron,alabastron
alandy,Åland Islands
album,album
albánie,Albania
alchymie,Alchemy
alemani,Alamanni
alpy,Alps
alsasko,Alsace
alžbětinky,Sisters of Charity of St. Elizabeth
alžírsko,Algeria
amatérska archeologie,amateur archaeology
ambrotypie,ambrotype
americká samoa,American Samoa
americké panenské ostrovy,Virgin Islands (U.S.)
amfiprostylos,amphiprostyle
amfiteátr,amphitheatre
amfora,amphorae
amorfní zlomek/předmět,amorphous fragment/object
amulet,amulet
anabaptisté,Anabaptism
analogie,analogy
analytická chemie,analytical chemistry
analýza,analysis
analýza hlavních komponent,principal components analysis
analýza rozptylu,analysis of variance
analýza stabilních izotopů,stable isotope analysis
analýza uměleckého díla,artwork analysis
"analýzy, posudky (metody spracování)","analyses, reviews (processing methods)"
anathéma,anathema
anatomie člověka,human anatomy
andalusie,Andalusia
andorra,Andorra
andronovská kultura,Andronovo culture
andrón,andron
anděl,angel
anekdota,anecdote
anexe,annexation
anglie,England
angličtina,English
anglosaská mytologie,Anglo-Saxon mythology
anglosasové,Anglo-Saxons
angola,Angola
anguilla,Anguilla
animismus,animism
anjouovci,Angevin
anonym,anonymous
ant,anta
antarktida,Antarctica
antefix,antefix
antická architektura,classical architecture
antické malířství,ancient painting
antické město,ancient city
antické sochařství,ancient sculpture
antické umění,classical art
antický chrám,ancient temple
antifonář,antiphonary
antigua a barbuda,Antigua and Barbuda
antika,classical antiquity
antitrinitarismus,antitrinitarism
antoniův val,Antonine Wall
antrakologická analýza,anthracological analysis
antrakologie/xylotomie,anthracology/xylotomy
antropogeneze,anthropogenesis
antropogenní geomorfologie,anthropogenic geomorphology
antropologický výzkum,anthropological research
antropologie,anthropology
antropologie krajiny,landscape anthropology
antropologie náboženství,anthropology of religion
antropologie sexuality,anthropology of sexuality
antropologie smrti,anthropology of death
antropometrie,anthropometry
antropomorfní nádoba,anthropomorphic vessel
antropomorfní plastika,anthropomorphic sculpture
aplikovaná geografie,applied geography
aplikovaná statistika,applied statistics
aplikovaný výzkum,applied research
apoikia,apoikia
apokalypsa,apocalypse
apokryf,apocryphus
apologetika,apologetics
apologie,apologetic
apotropaion,apotropaic magic
apotropsion,apotropaic magic
apoštol,Apostle
apsida,apse
apulie,Apulia
aquitaine,Aquitaine
arabské písmo,Arabic script
arabský poloostrov,Arabian Peninsula
aragonie,Aragon
aramejské písmo,Aramaic script
